Split, dirigido por M. Night Shyamalan, no ano de 2016, tem metascore de 62 e é o 3 colocado no ranking
Sing, dirigido por Christophe Lourdelet, no ano de 2016, tem metascore de 59 e é o 4 colocado no ranking
Suicide Squad, dirigido por David Ayer, no ano de 2016, tem metascore de 40 e é o 5 colocado no ranking
The Great Wall, dirigido por Yimou Zhang, no ano de 2016, tem metascore de 42 e é o 6 colocado no ranking
La La Land, dirigido por Damien Chazelle, no ano de 2016, tem metascore de 93 e é o 7 colocado no ranking
Mindhorn, dirigido por Sean Foley, no ano de 2016, tem metascore de 71 e é o 8 colocado no ranking
The Lost City of Z, dirigido por James Gray, no ano de 2016, tem metascore de 78 e é o 9 colocado no ranking
Passengers, dirigido por Morten Tyldum, no ano de 2016, tem metascore de 41 e é o 10 colocado no ranking
Fantastic Beasts and Where to Find Them, dirigido por David Yates, no ano de 2016, tem metascore de 66 e é o 11 colocado no ranking
Hidden Figures, dirigido por Theodore Melfi, no ano de 2016, tem metascore de 74 e é o 12 colocado no ranking
Rogue One, dirigido por Gareth Edwards, no ano de 2016, tem metascore de 65 e é o 13 colocado no ranking
Moana, dirigido por Ron Clements, no ano de 2016, tem metascore de 81 e é o 14 colocado no ranking
Colossal, dirigido por Nacho Vigalondo, no ano de 2016, tem metascore de 70 e é o 15 colocado no ranking
The Secret Life of Pets, dirigido por Chris Renaud, no ano de 2016, tem metascore de 61 e é o 16 colocado no ranking
Hacksaw Ridge, dirigido por Mel Gibson, no ano de 2016, tem metascore de 71 e é o 17 colocado no ranking
Jason Bourne, dirigido por Paul Greengrass, no ano de 2016, tem metascore de 58 e é o 18 colocado no ranking
Lion, dirigido por Garth Davis, no ano de 2016, tem metascore de 69 e é o 19 colocado no ranking
Arrival, dirigido por Denis Villeneuve, no ano de 2016, tem metascore de 81 e é o 20 colocado no ranking
Gold, dirigido por Stephen Gaghan, no ano de 2016, tem metascore de 49 e é o 21 colocado no ranking
Manchester by the Sea, dirigido por Kenneth Lonergan, no ano de 2016, tem metascore de 96 e é o 22 colocado no ranking
Hounds of Love, dirigido por Ben Young, no ano de 2016, tem metascore de 72 e é o 23 colocado no ranking
Trolls, dirigido por Walt Dohrn, no ano de 2016, tem metascore de 56 e é o 24 colocado no ranking
Independence Day: Resurgence, dirigido por Roland Emmerich, no ano de 2016, tem metascore de 32 e é o 25 colocado no ranking
Paris pieds nus, dirigido por Dominique Abel, no ano de 2016, tem metascore de 0 e é o 26 colocado no ranking
Dead Awake, dirigido por Phillip Guzman, no ano de 2016, tem metascore de 0 e é o 28 colocado no ranking
Bad Moms, dirigido por Jon Lucas, no ano de 2016, tem metascore de 60 e é o 29 colocado no ranking
Assassin's Creed, dirigido por Justin Kurzel, no ano de 2016, tem metascore de 36 e é o 30 colocado no ranking
Why Him?, dirigido por John Hamburg, no ano de 2016, tem metascore de 39 e é o 31 colocado no ranking
Nocturnal Animals, dirigido por Tom Ford, no ano de 2016, tem metascore de 67 e é o 32 colocado no ranking
X-Men: Apocalypse, dirigido por Bryan Singer, no ano de 2016, tem metascore de 52 e é o 33 colocado no ranking
Deadpool, dirigido por Tim Miller, no ano de 2016, tem metascore de 65 e é o 34 colocado no ranking
Resident Evil: The Final Chapter, dirigido por Paul W.S. Anderson, no ano de 2016, tem metascore de 49 e é o 35 colocado no ranking
Captain America: Civil War, dirigido por Anthony Russo, no ano de 2016, tem metascore de 75 e é o 36 colocado no ranking
Doctor Strange, dirigido por Scott Derrickson, no ano de 2016, tem metascore de 72 e é o 38 colocado no ranking
The Magnificent Seven, dirigido por Antoine Fuqua, no ano de 2016, tem metascore de 54 e é o 39 colocado no ranking
Sausage Party, dirigido por Greg Tiernan, no ano de 2016, tem metascore de 66 e é o 41 colocado no ranking
Moonlight, dirigido por Barry Jenkins, no ano de 2016, tem metascore de 99 e é o 42 colocado no ranking
Don't Fuck in the Woods, dirigido por Shawn Burkett, no ano de 2016, tem metascore de 0 e é o 43 colocado no ranking
The Founder, dirigido por John Lee Hancock, no ano de 2016, tem metascore de 66 e é o 44 colocado no ranking
Lowriders, dirigido por Ricardo de Montreuil, no ano de 2016, tem metascore de 57 e é o 45 colocado no ranking
Miss Sloane, dirigido por John Madden, no ano de 2016, tem metascore de 64 e é o 47 colocado no ranking
Fallen, dirigido por Scott Hicks, no ano de 2016, tem metascore de 0 e é o 48 colocado no ranking
Star Trek Beyond, dirigido por Justin Lin, no ano de 2016, tem metascore de 68 e é o 49 colocado no ranking
The Last Face, dirigido por Sean Penn, no ano de 2016, tem metascore de 16 e é o 50 colocado no ranking
Underworld: Blood Wars, dirigido por Anna Foerster, no ano de 2016, tem metascore de 23 e é o 52 colocado no ranking
Mother's Day, dirigido por Garry Marshall, no ano de 2016, tem metascore de 18 e é o 53 colocado no ranking
Silence, dirigido por Martin Scorsese, no ano de 2016, tem metascore de 79 e é o 56 colocado no ranking
Don't Breathe, dirigido por Fede Alvarez, no ano de 2016, tem metascore de 71 e é o 57 colocado no ranking
Me Before You, dirigido por Thea Sharrock, no ano de 2016, tem metascore de 51 e é o 58 colocado no ranking
Their Finest, dirigido por Lone Scherfig, no ano de 2016, tem metascore de 76 e é o 59 colocado no ranking
